city,matched_state,population_state_2025_persons,vehicle_reg_2025_state,car_reg_2025_state,motorcycle_reg_2025_state,lorry_reg_2025_state,van_reg_2025_state,bus_reg_2025_state,trailer_reg_2025_state,other_vehicle_reg_2025_state,vehicle_reg_per_1000_pop_2025,car_reg_per_1000_pop_2025,motorcycle_reg_per_1000_pop_2025,car_share_of_vehicle_reg_2025,motorcycle_share_of_vehicle_reg_2025,population_source,vehicle_source,spatial_matching_level,limitation
George Town,Pulau Pinang,1803300,16192,6098,7787,1043,30,5,446,783,8.9791,3.3816,4.3182,0.3766,0.4809,OpenDOSM population_state 2025,data.gov.my JPJ vehicles_2025 registration transactions,state-level proxy,Vehicle registration state refers to JPJ registration office state; it is not city-level vehicle stock and not active licensed vehicles.
Kota Bharu,Kelantan,1907700,6758,2523,3916,238,26,21,16,18,3.5425,1.3225,2.0527,0.3733,0.5795,OpenDOSM population_state 2025,data.gov.my JPJ vehicles_2025 registration transactions,state-level proxy,Vehicle registration state refers to JPJ registration office state; it is not city-level vehicle stock and not active licensed vehicles.
Kuala Lumpur,W.P. Kuala Lumpur,2074100,81209,43648,25461,6178,780,429,211,4502,39.1538,21.0443,12.2757,0.5375,0.3135,OpenDOSM population_state 2025,data.gov.my JPJ vehicles_2025 registration transactions,state-level proxy,Vehicle registration state refers to JPJ registration office state; it is not city-level vehicle stock and not active licensed vehicles.
Seberang Perai,Pulau Pinang,1803300,16192,6098,7787,1043,30,5,446,783,8.9791,3.3816,4.3182,0.3766,0.4809,OpenDOSM population_state 2025,data.gov.my JPJ vehicles_2025 registration transactions,state-level proxy,Vehicle registration state refers to JPJ registration office state; it is not city-level vehicle stock and not active licensed vehicles.
Johor Bahru,Johor,4205900,40406,13817,20544,2525,192,201,475,2652,9.607,3.2851,4.8846,0.342,0.5084,OpenDOSM population_state 2025,data.gov.my JPJ vehicles_2025 registration transactions,state-level proxy,Vehicle registration state refers to JPJ registration office state; it is not city-level vehicle stock and not active licensed vehicles.
Ipoh,Perak,2574900,10985,3997,5354,454,53,8,278,841,4.2662,1.5523,2.0793,0.3639,0.4874,OpenDOSM population_state 2025,data.gov.my JPJ vehicles_2025 registration transactions,state-level proxy,Vehicle registration state refers to JPJ registration office state; it is not city-level vehicle stock and not active licensed vehicles.
Kajang,Selangor,7406800,44324,15227,17376,2357,165,645,1935,6619,5.9842,2.0558,2.346,0.3435,0.392,OpenDOSM population_state 2025,data.gov.my JPJ vehicles_2025 registration transactions,state-level proxy,Vehicle registration state refers to JPJ registration office state; it is not city-level vehicle stock and not active licensed vehicles.
