city,road_density_km_per_km2,intersection_density_per_km2,high_capacity_road_share_calibrated,major_road_share_calibrated
George Town,-0.600462126710051,-0.5447911505571029,-0.37241837203716704,0.24687396805197134
Kota Bharu,1.7283438484238052,1.9921070620928312,-0.6659747800239709,0.5673465134339905
Kuala Lumpur,1.1055765032955032,0.7023992051973993,2.096040228455643,1.7816264533202906
Seberang Perai,-0.3156611922987901,-0.3712838243425164,-0.41672877324272234,-0.7605186324104939
Johor Bahru,-0.38602145090420914,-0.45241700204771296,0.22946457767162595,0.07243954461618851
Ipoh,-0.7020496911010211,-0.5638667373763401,-0.8930655862024418,-1.094513226120868
Kajang,-0.8297258907052366,-0.7621475529665592,0.022682705379034475,-0.8132546208910791
